age,income,region,plan,churn
24,32000,North,Basic,0
27,41000,North,Standard,0
31,52000,North,Standard,0
36,68000,North,Premium,0
42,85000,North,Premium,0
51,92000,North,Premium,0
23,29000,South,Basic,1
29,38000,South,Basic,0
34,47000,South,Standard,0
39,56000,South,Standard,1
46,64000,South,Premium,0
58,73000,South,Premium,1
22,30000,West,Basic,1
26,36000,West,Basic,0
33,49000,West,Standard,0
37,60000,West,Standard,0
44,78000,West,Premium,0
55,88000,West,Premium,1
25,34000,North,Basic,0
30,45500,North,Standard,0
35,58000,South,Standard,0
41,70000,South,Premium,0
48,81000,West,Premium,0
61,95000,West,Premium,1

